"question","intent","response"
"mba admission","admission","You can apply online for MBA through the official portal."
"bba admission","admission","You can apply online for BBA through the official portal."
"bca admission","admission","Admissions are conducted online."
"mca admission","admission","You can apply online through the university website."
"engineering admission","admission","Engineering admissions follow eligibility criteria and application."
"admission details","admission","Visit the official website to complete the admission process."
"enrollment","admission","Enrollment is done through online registration."
"register","admission","Register online on the university website."
"apply now","admission","You can apply through the official portal."
"join university","admission","Admissions are open through online application."
"direct admission","admission","Admissions are based on eligibility criteria."
"admission procedure","admission","Complete registration and document verification online."
"fees","fees","Fee structure varies by course. Please visit the official website for details."
"fee","fees","Course fees depend on the program selected."
"fee structure","fees","Fee structure varies depending on the course."
"course fees","fees","Fees differ based on program selection."
"mba fees","fees","MBA fee details are available on the official website."
"bba fees","fees","BBA fee details are available online."
"bca fees","fees","BCA fee information is available on the website."
"mca fees","fees","MCA fee details are available online."
"total fees","fees","Total fees depend on the program."
"semester fees","fees","Semester fees vary by course."
"payment","fees","Fees can be paid semester wise."
"fee details","fees","Visit official website for fee information."
"cost","fees","Cost depends on selected program."
"tuition fees","fees","Tuition fees vary by course."
"fee amount","fees","Please check official website for fee amount."
"fees information","fees","Fee details are available online."
"fee plan","fees","Flexible payment options are available."
"installments","fees","Fees can be paid in installments."
"education cost","fees","Cost depends on the chosen program."
"pricing","fees","Visit website for pricing details."
"placement","placement","SGT University provides strong placement support with top recruiters."
"placements","placement","Placement assistance is available for students."
"placement support","placement","The university has a dedicated placement cell."
"companies","placement","Top companies visit for campus placements."
"job opportunities","placement","Students receive placement support and career opportunities."
"highest package","placement","The highest package varies by year and program."
"placement record","placement","SGT University has a strong placement record."
"career support","placement","Students get career guidance and placement assistance."
"internships","placement","Internship opportunities are provided."
"recruiters","placement","Recruiters include top companies across industries."
"placement details","placement","Placement support is provided to eligible students."
"job placement","placement","Students get job opportunities through placement cell."
"placement cell","placement","SGT has a dedicated placement cell."
"employment support","placement","Career and placement support is provided."
"job assistance","placement","Students receive job assistance."
"campus placement","placement","Campus placements are conducted regularly."
"placement help","placement","Placement assistance is available."
"job help","placement","Students receive job support."
"career opportunities","placement","Many career opportunities are available."
"placement info","placement","Placement details vary by program."
"contact","contact","You can contact SGT University at Gurugram, Haryana or visit the official website."
"contact number","contact","Please visit official website for contact details."
"phone number","contact","Contact details are available on the official website."
"email","contact","Email details are available on the website."
"location","contact","SGT University is located in Gurugram, Haryana."
"address","contact","The address is Budhera, Gurugram, Haryana."
"website","contact","Visit the official SGT University website."
"official website","contact","You can find information on the official website."
"how to contact","contact","Contact information is available online."
"reach university","contact","Visit the campus or official website."
"contact details","contact","Contact details are on the official site."
"campus address","contact","SGT University is located in Gurugram."
"call university","contact","Phone details are available online."
"where located","contact","SGT University is located in Gurugram."
"university address","contact","The address is Budhera, Gurugram."
"office contact","contact","Contact information is on the website."
"helpline","contact","Helpline details are available online."
"support number","contact","Visit website for support number."
"contact info","contact","Contact details available online."
"reach us","contact","You can reach via official website."
"bye","goodbye","Goodbye! Feel free to ask anytime."
"thank you","goodbye","You're welcome! Happy to help."
"thanks","goodbye","You're welcome!"
"see you","goodbye","See you again! Take care."
"goodbye","goodbye","Goodbye! Have a great day."
"ok thanks","goodbye","You're welcome!"
"thanks a lot","goodbye","Glad I could help!"
"bye bye","goodbye","Goodbye! Best wishes."
"later","goodbye","See you later!"
"done","goodbye","Happy to help!"
